"MonitoringStation","SampleDate","SampleTime","Latitude","Longitude","TN","TP","TSS"
"CCM0069",2005-04-19,"13:15:00",38.44167,-75.90556,1.773,0.092,16.3
"CCM0069",2005-02-15,"10:45:00",38.44167,-75.90556,1.61,0.0572,2.7
"CCM0069",2005-03-16,"11:15:00",38.44167,-75.90556,1.822,0.0674,9
"CCM0069",2005-01-11,"11:55:00",38.44167,-75.90556,1.906,0.0655,3.5
"CCM0069",2013-06-05,"11:20:00",38.44167,-75.90556,2.31,0.1989,34
"CCM0069",2013-04-15,"14:00:00",38.44167,-75.90556,1.884,0.0804,NA
"CCM0069",2013-05-14,"09:50:00",38.44167,-75.90556,2.375,0.1644,16
"CCM0069",2013-03-18,"10:43:00",38.44167,-75.90556,1.899,0.087,13
"CCM0069",2012-07-25,"10:34:00",38.44167,-75.90556,3.21,0.2083,53.3
"CCM0069",2008-12-16,"10:30:00",38.44167,-75.90556,1.456,0.1341,13.5
"CCM0069",2012-08-20,"09:35:00",38.44167,-75.90556,2.26,0.1174,20
"CCM0069",2006-04-20,"12:05:00",38.44167,-75.90556,1.5,0.09535,23.15
"CCM0069",2006-03-09,"11:18:00",38.44167,-75.90556,2.628,0.0827,28
"CCM0069",2005-12-13,"15:41:00",38.44167,-75.90556,1.91,0.0793,5.5
"CCM0069",2006-02-06,"13:48:00",38.44167,-75.90556,1.602,0.06005,9.45
"CCM0069",2006-01-09,"09:47:00",38.44167,-75.90556,1.7665,0.0643,4.35
"CCM0069",2005-11-17,"10:00:00",38.44167,-75.90556,1.475,0.0893,22.5
"CCM0069",2005-10-20,"11:45:00",38.44167,-75.90556,1.596,0.10865,18
"CCM0069",2005-05-12,"11:27:00",38.44167,-75.90556,1.323,0.0699,10.8
"CCM0069",2005-09-15,"11:10:00",38.44167,-75.90556,1.968,0.11325,16.5
"CCM0069",2005-07-13,"10:15:00",38.44167,-75.90556,1.6475,0.1455,12.25
"CCM0069",2005-08-11,"10:50:00",38.44167,-75.90556,1.542,0.14305,10.7
"CCM0069",2005-06-15,"10:35:00",38.44167,-75.90556,1.721,0.1747,8.3
"CCM0069",2004-06-09,"11:43:00",38.44167,-75.90556,1.609,0.08,14.3
"CCM0069",2004-11-08,"11:00:00",38.44167,-75.90556,1.377,0.1267,24.5
"CCM0069",2004-07-21,"12:20:00",38.44167,-75.90556,1.722,0.0831,12.7
"CCM0069",2004-10-07,"10:15:00",38.44167,-75.90556,1.44,0.1136,6.85
"CCM0069",2004-05-12,"10:58:00",38.44167,-75.90556,1.943,0.121,13.3
"CCM0069",2004-09-22,"11:15:00",38.44167,-75.90556,1.525,0.0782,11.3
"CCM0069",2004-08-12,"10:25:00",38.44167,-75.90556,1.836,0.1515,14.7
"CCM0069",2004-12-09,"11:03:00",38.44167,-75.90556,1.308,0.0855,13.5
"CCM0069",2004-04-14,"11:37:00",38.44167,-75.90556,2.129,0.1158,21.7
"CCM0069",2004-03-17,"12:00:00",38.44167,-75.90556,1.907,0.0689,7
"CCM0069",2004-02-17,"11:40:00",38.44167,-75.90556,2.25,0.0451,2.4
"CCM0069",2004-01-13,"11:27:00",38.44167,-75.90556,2.5735,0.08165,2.95
"CCM0069",2003-11-19,"11:00:00",38.44167,-75.90556,2.115,0.104,18.3
"CCM0069",2003-12-17,"12:57:00",38.44167,-75.90556,1.563,0.0581,4.3
"CCM0069",2009-12-10,"08:46:00",38.44167,-75.90556,NA,NA,30
"CCM0069",2022-12-14,"09:56:00",38.44167,-75.90556,1.594,0.0764,6
"CCM0069",2022-09-14,"09:50:00",38.44167,-75.90556,2.09,0.1597,34
"CCM0069",2022-10-13,"10:05:00",38.44167,-75.90556,1.59,0.1084,18
"CCM0069",2022-11-16,"12:47:00",38.44167,-75.90556,1.665,0.1055,18
"CCM0069",2022-07-11,"10:24:00",38.44167,-75.90556,2.23,0.1903,40
"CCM0069",2022-08-11,"11:14:00",38.44167,-75.90556,1.314,0.2236,42
"CCM0069",2022-04-07,"11:16:00",38.44167,-75.90556,2.22,0.1809,48
"CCM0069",2022-06-08,"10:37:00",38.44167,-75.90556,1.655,0.1503,18
"CCM0069",2022-05-11,"10:30:00",38.44167,-75.90556,1.442,0.0795,15.3
