"MonitoringStation","SampleDate","SampleTime","Parameter","MeasureValue","Unit","Latitude","Longitude"
"CCM0069",2011-07-11,"11:00:00","TN",2.22,"MG/L",38.44167,-75.90556
"CCM0069",2011-06-08,"13:40:00","TN",1.944,"MG/L",38.44167,-75.90556
"CCM0069",2011-05-10,"11:23:00","TN",1.903,"MG/L",38.44167,-75.90556
"CCM0069",2011-04-11,"11:45:00","TN",1.84,"MG/L",38.44167,-75.90556
"CCM0069",2011-03-14,"12:55:00","TN",1.639,"MG/L",38.44167,-75.90556
"CCM0069",2011-02-08,"11:48:00","TN",1.705,"MG/L",38.44167,-75.90556
"CCM0069",2011-01-11,"10:47:00","TN",2.057,"MG/L",38.44167,-75.90556
"CCM0069",2010-12-14,"12:35:00","TN",1.788,"MG/L",38.44167,-75.90556
"CCM0069",2010-11-15,"11:45:00","TN",1.17,"MG/L",38.44167,-75.90556
"CCM0069",2010-10-21,"10:55:00","TN",1.418,"MG/L",38.44167,-75.90556
"CCM0069",2010-09-20,"09:40:00","TN",2.12,"MG/L",38.44167,-75.90556
"CCM0069",2010-08-26,"10:46:00","TN",1.676,"MG/L",38.44167,-75.90556
"CCM0069",2010-07-15,"10:40:00","TN",2.22,"MG/L",38.44167,-75.90556
"CCM0069",2010-06-23,"10:50:00","TN",2.36,"MG/L",38.44167,-75.90556
"CCM0069",2010-04-15,"11:04:00","TN",1.835,"MG/L",38.44167,-75.90556
"CCM0069",2010-05-11,"09:35:00","TN",2.38,"MG/L",38.44167,-75.90556
"CCM0069",2010-02-16,"10:20:00","TN",2.1517,"MG/L",38.44167,-75.90556
"CCM0069",2010-03-18,"10:09:00","TN",1.392,"MG/L",38.44167,-75.90556
"CCM0069",2010-01-12,"09:57:00","TN",3.541,"MG/L",38.44167,-75.90556
"CCM0069",2009-09-17,"09:25:00","TN",1.513,"MG/L",38.44167,-75.90556
"CCM0069",2009-11-17,"10:34:00","TN",1.411,"MG/L",38.44167,-75.90556
"CCM0069",2009-06-17,"12:40:00","TN",1.88,"MG/L",38.44167,-75.90556
"CCM0069",2009-07-15,"09:45:00","TN",2.536,"MG/L",38.44167,-75.90556
"CCM0069",2009-10-21,"11:55:00","TN",1.334,"MG/L",38.44167,-75.90556
"CCM0069",2009-08-12,"11:45:00","TN",2.07,"MG/L",38.44167,-75.90556
"CCM0069",2009-05-13,"11:10:00","TN",2.078,"MG/L",38.44167,-75.90556
"CCM0069",2009-03-19,"09:38:00","TN",1.529,"MG/L",38.44167,-75.90556
"CCM0069",2009-01-13,"11:08:00","TN",2.248,"MG/L",38.44167,-75.90556
"CCM0069",2009-04-13,"12:00:00","TN",1.7,"MG/L",38.44167,-75.90556
"CCM0069",2009-02-10,"09:50:00","TN",2.248,"MG/L",38.44167,-75.90556
